term.id,term.name,causesExcretaMassLoss,cfc11EqEgalitarianStratosphericOzoneDepletionReCiPe2016,cfc11EqHierarchistStratosphericOzoneDepletionReCiPe2016,cfc11EqIndividualistStratosphericOzoneDepletionReCiPe2016,co2EqGwp100ExcludingClimate-CarbonFeedbacksIpcc2013,co2EqGwp100IncludingClimate-CarbonFeedbacksIpcc2013,co2EqGwp100Ipcc2021,dalyAllEffects100YearsClimateChangeDamageToHumanHealthLCImpact,dalyAllEffects100YearsStratosphericOzoneDepletionDamageToHumanHealthLCImpact,dalyAllEffectsInfiniteClimateChangeDamageToHumanHealthLCImpact,dalyAllEffectsInfiniteStratosphericOzoneDepletionDamageToHumanHealthLCImpact,dalyCertainEffects100YearsClimateChangeDamageToHumanHealthLCImpact,dalyCertainEffects100YearsStratosphericOzoneDepletionDamageToHumanHealthLCImpact,dalyCertainEffectsInfiniteClimateChangeDamageToHumanHealthLCImpact,dalyCertainEffectsInfiniteStratosphericOzoneDepletionDamageToHumanHealthLCImpact,inHestiaDefaultSystemBoundary,inputProductionGroupId,inputTermTypesAllowed,lsrgAccountingCategory,lsrgAccountingSubCategory,nEqEgalitarianMarineEutrophicationReCiPe2016,nEqHierarchistMarineEutrophicationReCiPe2016,nEqIndividualistMarineEutrophicationReCiPe2016,noxEqEgalitarianEcosystemDamageOzoneFormationReCiPe2016,noxEqEgalitarianHumanDamageOzoneFormationReCiPe2016,noxEqHierarchistEcosystemDamageOzoneFormationReCiPe2016,noxEqHierarchistHumanDamageOzoneFormationReCiPe2016,noxEqIndividualistEcosystemDamageOzoneFormationReCiPe2016,noxEqIndividualistHumanDamageOzoneFormationReCiPe2016,noxeqEutrophicationIncludingFateAverageEuropeCml2001Non-Baseline,ozoneDepletionPotential,pEqEgalitarianFreshwaterEutrophicationReCiPe2016,pEqHierarchistFreshwaterEutrophicationReCiPe2016,pEqIndividualistFreshwaterEutrophicationReCiPe2016,pdfYearsAllEffects100YearsClimateChangeDamageToFreshwaterEcosystemsLCImpact,pdfYearsAllEffects100YearsClimateChangeDamageToTerrestrialEcosystemsLCImpact,pdfYearsAllEffectsInfiniteClimateChangeDamageToFreshwaterEcosystemsLCImpact,pdfYearsAllEffectsInfiniteClimateChangeDamageToTerrestrialEcosystemsLCImpact,pdfYearsCertainEffects100YearsClimateChangeDamageToTerrestrialEcosystemsLCImpact,pdfYearsCertainEffectsInfiniteClimateChangeDamageToTerrestrialEcosystemsLCImpact,pm2-5EqEgalitarianFineParticulateMatterFormationReCiPe2016,pm2-5EqHierarchistFineParticulateMatterFormationReCiPe2016,pm2-5EqIndividualistFineParticulateMatterFormationReCiPe2016,po4-EqEutrophicationExcludingFateCml2001Baseline,productTermIdsAllowed,productTermTypesAllowed,scope,siteTypesAllowed,so2EqEgalitarianTerrestrialAcidificationReCiPe2016,so2EqHierarchistTerrestrialAcidificationReCiPe2016,so2EqIndividualistTerrestrialAcidificationReCiPe2016,so2EqTerrestrialAcidificationExcludingFateCml2001Non-Baseline,so2EqTerrestrialAcidificationIncludingFateAverageEuropeCml2001Baseline,typesAllowed,valueToleranceToHestiaRecalculatedValue
no3ToGroundwaterIndustrialProcesses,"NO3, to groundwater, industrial processes",false,,,,,,,,,,,,,,,false,no3ToGroundwaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 2/3,agri-food processor,0.27,0.27,0.27,,,Cycle;Transformation;Transport,5
no3ToGroundwaterInorganicFertiliser,"NO3, to groundwater, inorganic fertiliser",false,,,,,,,,,,,,,,,true,no3ToGroundwaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,0.27,0.27,0.27,,,Cycle,5
no3ToGroundwaterInputsProduction,"NO3, to groundwater, inputs production",false,,,,,,,,,,,,,,,true,no3ToGroundwaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 2/3,all,0.27,0.27,0.27,,,Cycle;Transformation;Transport,5
no3ToGroundwaterOrganicFertiliser,"NO3, to groundwater, organic fertiliser",false,,,,,,,,,,,,,,,true,no3ToGroundwaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,0.27,0.27,0.27,,,Cycle,5
no3ToGroundwaterSoilFlux,"NO3, to groundwater, soil flux",false,,,,,,,,,,,,,,,false,no3ToGroundwaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,0.27,0.27,0.27,,,Cycle,5
no3ToGroundwaterWasteTreatment,"NO3, to groundwater, waste treatment",false,,,,,,,,,,,,,,,false,no3ToGroundwaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 1,all,0.27,0.27,0.27,,,Cycle;Transformation,5
no3ToSurfaceWaterAquacultureSystems,"NO3, to surface water, aquaculture systems",false,,,,,,,,,,,,,,,true,no3ToSurfaceWaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,liveAquaticSpecies,Scope 1,pond;river or stream;lake;sea or ocean,0.27,0.27,0.27,,,Cycle,5
no3ToSurfaceWaterExcreta,"NO3, to surface water, excreta",true,,,,,,,,,,,,,,,false,no3ToSurfaceWaterInputsProduction,excreta,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 1,cropland;permanent pasture;animal housing;pond;river or stream;lake;sea or ocean,0.27,0.27,0.27,,,Cycle;Transformation,5
no3ToSurfaceWaterIndustrialProcesses,"NO3, to surface water, industrial processes",false,,,,,,,,,,,,,,,false,no3ToSurfaceWaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 2/3,agri-food processor,0.27,0.27,0.27,,,Cycle;Transformation;Transport,5
no3ToSurfaceWaterInputsProduction,"NO3, to surface water, inputs production",false,,,,,,,,,,,,,,,false,no3ToSurfaceWaterInputsProduction,all,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.1,all,all,Scope 2/3,all,0.27,0.27,0.27,,,Cycle;Transformation;Transport,5
noxToAirAquacultureSystems,"NOx, to air, aquaculture systems",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,liveAquaticSpecies,Scope 1,pond;river or stream;lake;sea or ocean,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirCropResidueBurning,"NOx, to air, crop residue burning",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,cropland;glass or high accessible cover,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirCropResidueDecomposition,"NOx, to air, crop residue decomposition",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,cropland;glass or high accessible cover,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirExcreta,"NOx, to air, excreta",true,,,,,,,,,,,,,,,true,noxToAirInputsProduction,excreta,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,cropland;permanent pasture;animal housing;pond;river or stream;lake;sea or ocean,0.36,0.36,0.36,0.7,0.5,Cycle;Transformation,5
noxToAirFuelCombustion,"NOx, to air, fuel combustion",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,all,0.36,0.36,0.36,0.7,0.5,Cycle;Transformation;Transport,5
noxToAirIndustrialProcesses,"NOx, to air, industrial processes",false,,,,,,,,,,,,,,,false,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 2/3,agri-food processor,0.36,0.36,0.36,0.7,0.5,Cycle;Transformation;Transport,5
noxToAirInorganicFertiliser,"NOx, to air, inorganic fertiliser",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirInputsProduction,"NOx, to air, inputs production",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 2/3,all,0.36,0.36,0.36,0.7,0.5,Cycle;Transformation;Transport,5
noxToAirNaturalVegetationBurning,"NOx, to air, natural vegetation burning",false,,,,,,,,,,,,,,,false,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,forest;other natural vegetation;cropland;permanent pasture,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirOrganicFertiliser,"NOx, to air, organic fertiliser",false,,,,,,,,,,,,,,,true,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirOrganicSoilBurning,"NOx, to air, organic soil burning",false,,,,,,,,,,,,,,,false,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirOrganicSoilCultivation,"NOx, to air, organic soil cultivation",false,,,,,,,,,,,,,,,false,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirSoilFlux,"NOx, to air, soil flux",false,,,,,,,,,,,,,,,false,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,0.36,0.36,0.36,0.7,0.5,Cycle,5
noxToAirWasteTreatment,"NOx, to air, waste treatment",false,,,,,,,,,,,,,,,false,noxToAirInputsProduction,all,,,0.09,0.09,0.09,1,1,1,1,1,1,1.2,,,,,,,,,,,0.11,0.11,,0.13,all,all,Scope 1,all,0.36,0.36,0.36,0.7,0.5,Cycle;Transformation,5
pErosionInputsProduction,"P, erosion, inputs production",false,,,,,,,,,,,,,,,true,pErosionInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pErosionSoilFlux,"P, erosion, soil flux",false,,,,,,,,,,,,,,,false,pErosionInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
pToDrainageWaterIndustrialProcesses,"P, to drainage water, industrial processes",false,,,,,,,,,,,,,,,false,pToDrainageWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pToDrainageWaterInputsProduction,"P, to drainage water, inputs production",false,,,,,,,,,,,,,,,true,pToDrainageWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pToDrainageWaterSoilFlux,"P, to drainage water, soil flux",false,,,,,,,,,,,,,,,false,pToDrainageWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
pToGroundwaterIndustrialProcesses,"P, to groundwater, industrial processes",false,,,,,,,,,,,,,,,false,pToGroundwaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pToGroundwaterInputsProduction,"P, to groundwater, inputs production",false,,,,,,,,,,,,,,,true,pToGroundwaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pToGroundwaterSoilFlux,"P, to groundwater, soil flux",false,,,,,,,,,,,,,,,false,pToGroundwaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
pToSurfaceWaterSoilFlux,"P, to surface water, soil flux",false,,,,,,,,,,,,,,,false,pToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
pToSurfaceWaterAquacultureSystems,"P, to surface water, aquaculture systems",false,,,,,,,,,,,,,,,true,pToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,liveAquaticSpecies,Scope 1,pond;river or stream;lake;sea or ocean,,,,,,Cycle,5
pToSurfaceWaterExcreta,"P, to surface water, excreta",true,,,,,,,,,,,,,,,false,pToSurfaceWaterInputsProduction,excreta,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 1,cropland;permanent pasture;animal housing;pond;river or stream;lake;sea or ocean,,,,,,Cycle;Transformation,5
pToSurfaceWaterIndustrialProcesses,"P, to surface water, industrial processes",false,,,,,,,,,,,,,,,false,pToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pToSurfaceWaterInputsProduction,"P, to surface water, inputs production",false,,,,,,,,,,,,,,,true,pToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3.06,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pm10ToAirAnimalHousing,"PM10, to air, animal housing",false,,,,,,,,,,,,,,,false,pm10ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,liveAnimal,Scope 1,animal housing,,,,,,Cycle,5
pm10ToAirFuelCombustion,"PM10, to air, fuel combustion",false,,,,,,,,,,,,,,,false,pm10ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle;Transformation;Transport,5
pm10ToAirCropResidueBurning,"PM10, to air, crop residue burning",false,,,,,,,,,,,,,,,false,pm10ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,cropland;glass or high accessible cover,,,,,,Cycle,5
pm10ToAirIndustrialProcesses,"PM10, to air, industrial processes",false,,,,,,,,,,,,,,,false,pm10ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pm10ToAirInputsProduction,"PM10, to air, inputs production",false,,,,,,,,,,,,,,,false,pm10ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pm25ToAirAnimalHousing,"PM2.5, to air, animal housing",false,,,,,,,,,,,,,,,false,pm25ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,liveAnimal,Scope 1,animal housing,,,,,,Cycle,5
pm25ToAirFuelCombustion,"PM2.5, to air, fuel combustion",false,,,,,,,,,,,,,,,false,pm25ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 1,all,,,,,,Cycle;Transformation;Transport,5
pm25ToAirCropResidueBurning,"PM2.5, to air, crop residue burning",false,,,,,,,,,,,,,,,false,pm25ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 1,cropland;glass or high accessible cover,,,,,,Cycle,5
pm25ToAirIndustrialProcesses,"PM2.5, to air, industrial processes",false,,,,,,,,,,,,,,,false,pm25ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pm25ToAirInputsProduction,"PM2.5, to air, inputs production",false,,,,,,,,,,,,,,,false,pm25ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pm0225ToAirIndustrialProcesses,"PM0.2-2.5, to air, industrial processes",false,,,,,,,,,,,,,,,false,pm0225ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pm0225ToAirInputsProduction,"PM0.2-2.5, to air, inputs production",false,,,,,,,,,,,,,,,false,pm0225ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
pm02ToAirIndustrialProcesses,"PM0.2, to air, industrial processes",false,,,,,,,,,,,,,,,false,pm02ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
pm02ToAirInputsProduction,"PM0.2, to air, inputs production",false,,,,,,,,,,,,,,,false,pm02ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
po43ToGroundwaterInorganicFertiliser,"PO43-, to groundwater, inorganic fertiliser",false,,,,,,,,,,,,,,,false,po43ToGroundwaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
po43ToGroundwaterOrganicFertiliser,"PO43-, to groundwater, organic fertiliser",false,,,,,,,,,,,,,,,false,po43ToGroundwaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
po43ToGroundwaterSoilFlux,"PO43-, to groundwater, soil flux",false,,,,,,,,,,,,,,,false,po43ToGroundwaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
po43ToGroundwaterIndustrialProcesses,"PO43-, to groundwater, industrial processes",false,,,,,,,,,,,,,,,false,po43ToGroundwaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
po43ToGroundwaterInputsProduction,"PO43-, to groundwater, inputs production",false,,,,,,,,,,,,,,,false,po43ToGroundwaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 2/3,all,,,,,,Cycle,5
po43ToSurfaceWaterInorganicFertiliser,"PO43-, to surface water, inorganic fertiliser",false,,,,,,,,,,,,,,,false,po43ToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 1,cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
po43ToSurfaceWaterOrganicFertiliser,"PO43-, to surface water, organic fertiliser",false,,,,,,,,,,,,,,,false,po43ToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 1,cropland;glass or high accessible cover;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
po43ToSurfaceWaterAquacultureSystems,"PO43-, to surface water, aquaculture systems",false,,,,,,,,,,,,,,,false,po43ToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,liveAquaticSpecies,Scope 1,pond;river or stream;lake;sea or ocean,,,,,,Cycle,5
po43ToSurfaceWaterSoilFlux,"PO43-, to surface water, soil flux",false,,,,,,,,,,,,,,,false,po43ToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 1,forest;other natural vegetation;cropland;glass or high accessible cover;permanent pasture,,,,,,Cycle,5
po43ToSurfaceWaterIndustrialProcesses,"PO43-, to surface water, industrial processes",false,,,,,,,,,,,,,,,false,po43ToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
po43ToSurfaceWaterInputsProduction,"PO43-, to surface water, inputs production",false,,,,,,,,,,,,,,,false,po43ToSurfaceWaterInputsProduction,all,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,1,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
sf6ToAirIndustrialProcesses,"SF6, to air, industrial processes",false,0,0,0,23500,26087,25200,,,0.430167930079864,,0.0100550890756848,,,,false,sf6ToAirInputsProduction,all,Emissions (non-land),Process emissions,,,,,,,,,,,,,,,,4.13560279007937e-11,1.67420702789481e-10,5.38657913322678e-10,4.13560279007937e-11,5.38657913322678e-10,,,,,all,all,Scope 1,agri-food processor,,,,,,Cycle;Transformation,5
sf6ToAirInputsProduction,"SF6, to air, inputs production",false,0,0,0,23500,26087,25200,,,0.430167930079864,,0.0100550890756848,,,,false,sf6ToAirInputsProduction,all,Emissions (non-land),,,,,,,,,,,,,,,,,4.13560279007937e-11,1.67420702789481e-10,5.38657913322678e-10,4.13560279007937e-11,5.38657913322678e-10,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
so2ToAirFuelCombustion,"SO2, to air, fuel combustion",false,,,,,,,,,,,,,,,true,so2ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 1,all,1,1,1,1,1.2,Cycle;Transformation;Transport,5
so2ToAirIndustrialProcesses,"SO2, to air, industrial processes",false,,,,,,,,,,,,,,,false,so2ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 2/3,agri-food processor,1,1,1,1,1.2,Cycle;Transformation;Transport,5
so2ToAirInputsProduction,"SO2, to air, inputs production",false,,,,,,,,,,,,,,,true,so2ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 2/3,all,1,1,1,1,1.2,Cycle;Transformation;Transport,5
so2ToAirCropResidueBurning,"SO2, to air, crop residue burning",false,,,,,,,,,,,,,,,false,so2ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 1,cropland;glass or high accessible cover,1,1,1,1,1.2,Cycle,5
so3ToAirIndustrialProcesses,"SO3, to air, industrial processes",false,,,,,,,,,,,,,,,false,so3ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
so3ToAirInputsProduction,"SO3, to air, inputs production",false,,,,,,,,,,,,,,,false,so3ToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
soxToAirFuelCombustion,"SOx, to air, fuel combustion",false,,,,,,,,,,,,,,,false,soxToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 1,all,1,1,1,1,1.2,Cycle;Transformation;Transport,5
soxToAirIndustrialProcesses,"SOx, to air, industrial processes",false,,,,,,,,,,,,,,,false,soxToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 2/3,agri-food processor,1,1,1,1,1.2,Cycle;Transformation;Transport,5
soxToAirInputsProduction,"SOx, to air, inputs production",false,,,,,,,,,,,,,,,false,soxToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 2/3,all,1,1,1,1,1.2,Cycle;Transformation;Transport,5
soxToAirCropResidueBurning,"SOx, to air, crop residue burning",false,,,,,,,,,,,,,,,false,soxToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,all,all,Scope 1,cropland;glass or high accessible cover,1,1,1,1,1.2,Cycle,5
tspToAirAnimalHousing,"TSP, to air, animal housing",false,,,,,,,,,,,,,,,false,tspToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,liveAnimal,Scope 1,animal housing,,,,,,Cycle,5
tspToAirFuelCombustion,"TSP, to air, fuel combustion",false,,,,,,,,,,,,,,,false,tspToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle;Transformation;Transport,5
tspToAirIndustrialProcesses,"TSP, to air, industrial processes",false,,,,,,,,,,,,,,,false,tspToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
tspToAirInputsProduction,"TSP, to air, inputs production",false,,,,,,,,,,,,,,,false,tspToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
trichlorofluoromethaneToAirIndustrialProcesses,"Trichlorofluoromethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,trichlorofluoromethaneToAirInputsProduction,all,,,,,,,,,,,,,1,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
trichlorofluoromethaneToAirInputsProduction,"Trichlorofluoromethane, to air, inputs production",false,,,,,,,,,,,,,,,false,trichlorofluoromethaneToAirInputsProduction,all,,,,,,,,,,,,,1,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
tefluraneToAirIndustrialProcesses,"Teflurane, to air, industrial processes",false,,,,,,,,,,,,,,,false,tefluraneToAirInputsProduction,all,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
tefluraneToAirInputsProduction,"Teflurane, to air, inputs production",false,,,,,,,,,,,,,,,false,tefluraneToAirInputsProduction,all,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
pesticideToAirPesticideApplication,"Pesticide, to air, pesticide application",false,,,,,,,,,,,,,,,false,pesticideToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle,5
pesticideToAirInputsProduction,"Pesticide, to air, inputs production",false,,,,,,,,,,,,,,,false,pesticideToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
pesticideToWaterPesticideApplication,"Pesticide, to water, pesticide application",false,,,,,,,,,,,,,,,false,pesticideToWaterInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle,5
pesticideToWaterInputsProduction,"Pesticide, to water, inputs production",false,,,,,,,,,,,,,,,false,pesticideToWaterInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
pesticideToSoilPesticideApplication,"Pesticide, to soil, pesticide application",false,,,,,,,,,,,,,,,false,pesticideToSoilInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle,5
pesticideToSoilInputsProduction,"Pesticide, to soil, inputs production",false,,,,,,,,,,,,,,,false,pesticideToSoilInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
pesticideToHarvestedCropPesticideApplication,"Pesticide, to harvested crop, pesticide application",false,,,,,,,,,,,,,,,false,pesticideToHarvestedCropInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle,5
pesticideToHarvestedCropInputsProduction,"Pesticide, to harvested crop, inputs production",false,,,,,,,,,,,,,,,false,pesticideToHarvestedCropInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
ionisingCompondsToAirInputsProduction,"Ionising componds, to air, inputs production",false,,,,,,,,,,,,,,,false,ionisingCompondsToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
ionisingCompondsToSaltwaterInputsProduction,"Ionising componds, to saltwater, inputs production",false,,,,,,,,,,,,,,,false,ionisingCompondsToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
ionisingCompondsToWaterInputsProduction,"Ionising componds, to water, inputs production",false,,,,,,,,,,,,,,,false,ionisingCompondsToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
